CustomerID,Gender,Age,Income,SpendingScore,PurchaseFrequency
CUST1000,Nữ,40,52777,27,5.2
CUST1001,Nữ,28,65910,84,12.2
CUST1002,Nam,63,56731,51,2.9
CUST1003,Nữ,23,40559,56,11.1
CUST1004,Nam,38,79675,74,10.7
CUST1005,Nữ,34,67437,20,5.7
CUST1006,Nam,49,62752,44,8.6
CUST1007,Nữ,41,63584,90,3.8
CUST1008,Nam,51,79024,100,10.8
CUST1009,Nam,55,25376,70,14.1
CUST1010,Nữ,32,73544,50,10.4
CUST1011,Nữ,58,41485,97,7.7
CUST1012,Nữ,34,61485,81,2.2
CUST1013,Nữ,58,49830,7,2.7
CUST1014,Nữ,21,48887,29,6.5
CUST1015,Nữ,21,53513,74,8.1
CUST1016,Nam,66,62652,61,10.9
CUST1017,Nam,60,73290,37,7.4
CUST1018,Nữ,41,76254,16,4.6
CUST1019,Nam,47,49062,26,1.6
CUST1020,Nữ,49,60834,33,13.6
CUST1021,Nam,54,65307,18,3.8
CUST1022,Nữ,22,69983,7,7.3
CUST1023,Nữ,43,72742,22,3.8
CUST1024,Nam,31,36426,75,9.8
CUST1025,Nữ,26,49862,30,6.4
CUST1026,Nữ,69,52327,82,3.1
CUST1027,Nam,30,44048,45,14.3
CUST1028,Nữ,60,75712,7,7.8
CUST1029,Nam,44,43151,81,10.3
CUST1030,Nữ,48,31711,23,12.5
CUST1031,Nữ,30,41205,33,6.4
CUST1032,Nam,45,55618,44,5.1
CUST1033,Nam,32,81396,69,2.2
CUST1034,Nam,34,78130,89,9.5
CUST1035,Nam,21,71818,34,9.6
CUST1036,Nữ,67,51439,98,7.7
CUST1037,Nam,39,51647,12,3.0
CUST1038,Nữ,26,54216,8,11.6
CUST1039,Nam,18,71183,18,12.3
CUST1040,Nữ,34,69622,74,14.4
CUST1041,Nam,43,54506,100,3.0
CUST1042,Nam,40,55907,15,1.1
CUST1043,Nam,61,64071,88,12.2
CUST1044,Nữ,53,62762,17,9.1
CUST1045,Nữ,67,47056,88,14.5
CUST1046,Nữ,29,45600,42,1.2
